District,Total_All_Years,Rank
Ghaziabad,224570,1
Prayagraj,218609,2
Meerut,203632,3
Bareilly,191831,4
Aligarh,188290,5
Gorakhpur,183589,6
Agra,177620,7
Shahjahanpur,167389,8
Sitapur,164775,9
Mathura,153917,10
Lucknow,148855,11
Firozabad,142365,12
Moradabad,139598,13
Kanpur Nagar,138031,14
Gautambudh Nagar,137290,15
Saharanpur,134150,16
Muzaffarnagar,131285,17
Jhansi,127511,18
Ayodhya,121613,19
Varanasi,115887,20
Etawah,112816,21
Bulandshahar,109704,22
Ballia,104764,23
Basti,103466,24
Khiri,98932,25
Lucknow Commissionarate,93757,26
Hardoi,93125,27
Mirzapur,87264,28
Barabanki,85969,29
Bijnor,85626,30
Fatehgarh,80857,31
Bahraich,79386,32
Pratapgarh,76318,33
Raibareilly,75033,34
Rampur,73024,35
Badaun,71584,36
Unnao,70670,37
Azamgarh,70517,38
Jaunpur,69552,39
Sultanpur,67908,40
Raebareli,62926,41
Kushi Nagar,62190,42
Mainpuri,61859,43
Noida,60934,44
Gonda,60829,45
Kanpur Dehat,60187,46
Sambhal,59265,47
Pilibhit,57985,48
Ghazipur,55700,49
Fatehpur,54753,50
Etah,52936,51
Kanpur Commissionarate,49085,52
Hapur,48312,53
Hathras,47214,54
Deoria,46158,55
Kaushambi,45350,56
Kannauj,44968,57
Kasganj,44913,58
Auraiya,44482,59
Jalaun,44211,60
Baghpat,43811,61
Mau,43091,62
Ambedkar Nagar,42419,63
Maharajganj,41683,64
Amroha,40439,65
Lalitpur,39526,66
Hamirpur,39209,67
Banda,38027,68
Amethi,37782,69
Shamli,34918,70
Sant Kabirnagar,34259,71
Sonbhadra,33999,72
Sidharthnagar,33343,73
Varanasi Commissionarate,31821,74
Chandoli,31366,75
Balrampur,28708,76
Mahoba,25845,77
Bhadohi,21543,78
Chitrakoot,21389,79
Shrawasti,20003,80
Allahabad,16211,81
G. R. P.,11072,82
Faizabad,5297,83
Vasanasi Dehat,4817,84
Lucknow Grameen,4540,85
Kanpur Outer,4520,86
